Nom entreprise,Substance,Adresse Physique,Téléphone,Email
2M TRADING MULTISERVICES SARL,,"80, Cité Isra1, Hann Bel Air, Dakar, Sénégal",77 260 85 48,
2SBCI,calcaire,"Villa 477, unité 5,Parcelles Assainies, Keur Massar, Dakar, 
Sénégal",77 434 83 83,
2SH SALY SOFTWARE ET HARDWARE,,"Canal 4, en face Maison de la Douane, DAKAR, Sénégal",77 439 28 61,
3S INTERNATIONAL,,"Jardin de Fann, Villa n°1, Fann Résidence, Dakar, Sénégal",,
AAURIC HOLDINGS PTE.LTD,,"Km 18, Rte de RUFISQUE, BP 3835, MBAO, Sénégal",,
ABANDOUR GEOLINK,,"GUEDIAWAYE, VILLA S277 HAMO6, DAKAR",,
ABC-GROUP SARL,,,33 835 64 47/77 578 89 96,abclescarrieres@gmail.com
ABN HOLDING-SARL,laterite,,77 464 68 71/77 441 11 11,abn-holding@gmail.com
AD INVEST SA,,"Villa N°11, Route du camp Pénal, Liberté 6 extension, 
Dakar, Sénégal",33 827 80 33/33 867 43 12,adinvest1@orange.sn
ADAD SAS,,"zone 15, Almadies, Dakar, Sénégal",,
AEAN DEVELOPPEMENT,,"Rue de Diourbel X B, Point E, Dakar, Sénégal",77 102 27 29,
AF GROUP SARL,,"171, , LIBERTE 6 EXTENSION, Dakar, Sénégal",,338274184 afgbusinesspartner@gmail.com
AFRIC MINING SARL,,"2 eme étage, Immeuble Mamoulick, Rue AX Rue 1 Point E, 
Dakar, Sénégal",33 869 00 02,africmining.info@gmail.com
AFRICA BUSINESS CENTER,,"109, Aviation, Ouakam, Dakar, Sénégal",77 414 19 37,
AFRICA BUSINESS CONTRACTING SARL,,"12, Rue armand Angrnad, Dakar, Sénégal",33 842 17 67,abcafrica@gmail.com
AFRICA GLOBE,,"16 , Boulevard Djily Mbaye , immeuble Mouna 1er étage, 
Dakar, 22099, Sénégal",338220003,
AFRICA GOLD MINE AND REFINERY COMPANY SARL,,"Sicap Liberté 5 Villa n° 5517, Dakar, Sénégal",33 825 04 41,
AFRICA GOLD SARL,,"Appartement 2, Rez de Jardin, 1 Rue Jules Ferry 
Immeuble l'Aquiléa, DAKAR",77 623 91 52,
AFRICA TRADING EQUIPEMENT ET TRANSPORT SUARL,"sable de dune Touba Khaira , Face CBAO, Diourbel, Sénégal",,77 639 18 24,
"AFRICAINE DE TRAVAUX D'INGENIERIE ET DE 
SERVICES",calcaire,"Rue 7, Angle Corniche, Dakar, Sénégal",77 335 80 40,
AFRICAN INDUSTRIES GATEWAY,,"Gibraltar 3, Lot n°46, derrière Caserne Samba Diéry Diallo, 
Dakar, Sénégal",,775439672 ala@aig-ml.com
AFRICAN INVESTMENT GROUP SA,"phosphate de 
chaux","Villa N°12, Route de NGOR, Almadies, Dakar, Sénégal",33 869 91 51,
AFRICAN MINERAL CORPORATION,,"25, Cité des jeunes cadres Lébous, VDN face puit SDE, 
Dakar, BP18025, Sénégal",33 867 64 03,amc-dak@orange.sn
"AFRICAN MINING AND INDUSTRY COMPANY LIMITED 
SA",,"27 avenue Georges Pomidou , Dakar, Sénégal",,
AFRICAN MINING LOGISTIQUE SERVICE,,"U 16, N°308, Parcelles Assainies, Dakar, Sénégal",,
AFRIGEM SL,or,"C/Américo Vepueio .16-GB, 35009-Las Palmas de GC-
SPAIN, Espagne",,execurec@yahoo.com
AFRIGOLD SARL,,"19, Rue Mass Diokhane 3ème étage , Fann, Dakar, BP 
5364, Sénégal",,
AFRIGOLDS SARL,or,"2403/D Dieuppeul II, DAKAR, Sénégal",776570306,
AFRIMART IMMOBILIER ET BTP,,,,339422521 takhadiop@hotmail.com
AGEM,or,"Residence Axa Ngor, Route des Almadies Zone 9 villa 20, 
Tambacounda, Sénégal",338246191,
AGEM EXPLORATION SENEGAL,,"Almadies 8, zone 7, NGOR, DAKAR",338246877,
AGENCE DE DEVELOPPEMENT ET D'INVESTISSEMENT,,,338674312/33 827 80 33,adinvest1@orange.sn
"AGENCE IMMOBILIERE ""LA BAIE""",,"75 Bis, Cité Sotiba Pikine, Dakar, Sénégal",77 477 97 28,
AGPL,,"Mbao km18, route de Rufisque, Rufisque, BP 3835 , 
Sénégal",,
AGPL INVESTMENTS PTE.LTD,,"Beach road 11-303, the plaza singapore 199591",,
AGROMINE SUARL,"phosphate de 
chaux","Immeuble Tamaro, Rue 40-41, Mohamed 5, Dakar, 
Sénégal",33 889 78 08,
AGROMINES INTERNATIONAL SARL (AGMIN),,"38 Boulevard de la République, Dakar, Sénégal",777 023 169,
"AIDARA GESTION IMMOBILIERE CONSTRUCTION-
COMMERCE MULTISERVICES","sable de dune Keur Massar, Cité Ainoumady 3, villan°1, Dakar, Sénégal",,33 837 74 73,sagicsocial@yahoo.fr
AL AZHAR MINES ET CARRIERES,grès,"Liberté 6 Extension, Immeuble Touré, Comico 3, Dakar, 
Sénégal",33 869 67 09,holdingalazhar@hotmail.com
ALAMA SUARL,argile,"Amitié 3 N°4372, Dakar, Sénégal",776446844/77 861 30 30,
ALBINA SENEGAL,calcaire,"281, Nord Foire, CICES, Dakar, Sénégal",77 569 15 02,
ALCATRAS INTERNATIONAL,,"Kédougou, BP 57, Sénégal",33 985 15 92/77 518 40 21,"contact@alcaras-
international.com"
ALFA SENEGAL TRANSPORT,,"Guédiawaye, Dakar, BP 19150, Sénégal",,
ALPHA BUSINESS AFRICA GROUP SUARL,basalte,"OUEST FOIRE, CITE A ELMAS N° 218 FACE CICES, Dakar, 
Sénégal",33 820 20 50,
ALUMINIUM DU SENEGAL,,,338257217,
ALYOU,,"villa n°94, Petit Mbao cité promocape, Dakar, Sénégal",77 306 96 36/77 509 98 53,
AMATH NDIAYE INTERNATIONALE PRESTIGE SUARL,,"Zac Mbao, En face Quincaillerie Générale, N°23, Dakar, 
Sénégal",77 605 60 54/33 861 44 91,ndiayeamath44@gmail.com
AMD SERVICES,"sable de dune Keur MOUSSA, Thiès, Sénégal",,33 950 63 03,
AMMSA GROUP LIMITED,,"Jafda n°0F3056, Po Box: 42423 Dubai, United Arab 
Emirates",(971) 4 340 6162,contact@ammsagroup.com
AMTRAC Sarl,,"Gomba, Kédougou, Sénégal",77 525 79 26,
ANCR SENEGAL SARL,,"34, Cité Air France, Ouest Foire, Dakar, Sénégal",,
"ANHUA XIANGLONG MINING Co., Ltd",,,77 298 24 78,2624947517@qq.com
APROMINE SARL,,"Pikine Route des Niayes N°759, DAKAR, Sénégal",77 578 06 72/77 604 86 67,alcalykeitaa@yahoo.fr
ARC EN CIEL,grès,"Cité SHS, Golf Nord, Dakar, Sénégal",33 877 17 23,
ARCELOR MITTAL STEEL HOLDINGS AG,,"Alpen Strass 15, 6304 ZUG, Suisse",,
ARDIMINES,SI,"Villa n°453, Rue Kaolack, Point E, Sénégal",,338251600 contact@ardimines.com
AREZKI S.A,basalte,"Route des Almadies, Zone 6, Dakar, Sénégal",33 869 90 99,dakar@arezkigroup.com
ASCOM WEST AFRICA,,"18 Rue Felix Faure, 6e étage, Dakar, Sénégal",33 821 49 73,
ASIAN GROUP SARL,,"Villa 62, hann Mariste, Cité Orange, Dakar, Sénégal",,772713092 negisanjay86@gmail.com
ASKANWI,,"VILLA 1996, SICAP LIBERTE 3, DAKAR, Sénégal",77 805 76 76,
ASN TRADING & EQUIPEMENTS SARL,,"Bargny Sincone, n°1118, Dakar, Sénégal",,
"ASSOCIATION INTERNATIONALE SECOURS A 
L'ENFANCE ET LA FEMME RURALE",,,77 422 77 77/70 770 77 77,
"ASSOCIATION ISLAMIQUE DE SECOURS A L'ENFANCE 
DESHERITEE",,"12 km de Louga, Route de St Louis, Sénégal",33 987 13 39/77 422 77 77,
