organization,description,offer_type,secteurs,address,country,publication_date,expiry_date,website,phones
Dobiza,"TRAVAUX DE MAINTENANCE DE PERIMETRES IRRIGUES DANS LES DELEGATIONS DE DAGANA, LAC DE GUIERS, PODOR, MATAM ET BAKEL",Appel d’offre,"Maintenance et réparations,","Liberté 6 extension
Liberté 6 extension",Sénégal,10/01/2026,15/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,SUPERVISION DES TRAVAUX DE CONSTRUCTION POUR LA RENOVATION DU LNSP,Appel d’offre,"Batiment,","Liberté 6 extension
Liberté 6 extension",Sénégal,10/01/2026,15/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,TRAVAUX DE CONSTRUCTION DU CENTRE DE TRANSFORMATION DE CÉRÉALES ET ÉQUIPEMENT DES FEMMES PILEUSES DANS LE CADRE DU PLAN DE RESTAURATION DES MOYENS DE SUBSISTANCE DES JOJ DAKAR 2026,Appel d’offre,"Batiment,Travaux publics,","Liberté 6 extension
Liberté 6 extension",Sénégal,10/01/2026,10/02/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,ACQUISITION DE VEHICULES POUR LEXPLOITATION DES OUVRAGES DASSAINISSEMENT DE LONAS,Appel d’offre,"Automobiles, roulants,","Liberté 6 extension
Liberté 6 extension",Sénégal,10/01/2026,29/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,TRAVAUX DE MAINTENANCE DE PERIMETRES IRRIGUES DANS LES DELEGATIONS DE DAGANA,Appel d’offre,"Travaux publics,","Liberté 6 extension
Liberté 6 extension",Sénégal,10/01/2026,15/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,TRAVAUX DE CONSTRUCTION D'UN LYCÉE À NDAYANE,Appel d’offre,"Batiment,Travaux publics,","Liberté 6 extension
Liberté 6 extension",Sénégal,10/01/2026,22/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,ACQUISITION DE LOGISTIQUE DE TRANSPORTS EN DEUX LOTS,Appel d’offre,"Matériels et Equipements,","Liberté 6 extension
Liberté 6 extension",Sénégal,08/01/2026,04/02/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,FOURNITURE DE SERVICES DE NETTOIEMENT EN DEUX LOTS DISTINCTS,Appel d’offre,"Nettoyage, Hygiène,","Liberté 6 extension
Liberté 6 extension",Sénégal,08/01/2026,22/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,PRISE EN CHARGE MEDICALE DU PERSONNEL DE L'OFOR,Appel d’offre,"Services médicaux,","Liberté 6 extension
Liberté 6 extension",Sénégal,08/01/2026,20/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,VISITE MEDICALE ANNUELLE DU PERSONNEL DE L'IPRES EN DEUX (02) LOTS,Appel d’offre,"Services médicaux,","Liberté 6 extension
Liberté 6 extension",Sénégal,08/01/2026,22/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,"FOURNITURE DE PRODUITS, REACTIFS ET CONSOMMABLES DE LABORATOIRE",Appel d’offre,"Chimie - Base et dérivés,Matériel médical,Biotechnologies,","Liberté 6 extension
Liberté 6 extension",Sénégal,08/01/2026,20/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,FOURNITURE D’UN PROFILOMETRE LASER DANS LE CADRE DES TRAVAUX DE REHABILITATION DE LA ROUTE FATICKFOUNDIOUGNE,Appel d’offre,"Matériels et Equipements,","Liberté 6 extension
Liberté 6 extension",Sénégal,08/01/2026,13/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,CONSTRUCTION DE 2 MAGASINS DE STOCKAGE (PRA MATAM ET PRA ZIGUINCHOR) ET D'UN BATIMENT POUR PERSONNEL DE SECURITE (SIEGE) ET BUREAUX (PRA DAKAR),Appel d’offre,"Batiment,","Liberté 6 extension
Liberté 6 extension",Sénégal,08/01/2026,13/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,APPEL A CANDIDATURES POUR LE RECRUTEMENT DU DIRECTEUR GENERAL DU GROUPEMENT INTERBANCAIRE MONETIQUE DE L’UNION ECONOMIQUE ET MONETAIRE OUEST AFRICAINE (GIM-UEMOA),Appel manifestation / proposition,"Institutions bancaires,","Liberté 6 extension
Liberté 6 extension",Sénégal,07/01/2026,08/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,EVALUATION FINALE EXTERNE – PROJET « HABITER ET MIEUX VIVRE DANS LES NON-LOTIS » PHASE 2,Appel d’offre,"Organismes, ONG, Associations,","Liberté 6 extension
Liberté 6 extension",Sénégal,07/01/2026,12/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,AMI - SENEGAL - ASSISTANCE TECHNIQUE A LA REHABILITATION ET RENFORCEMENT LE RESEAU D’OBSERVATION DES EAUX DES BASSINS VERSANTS - PASEA-RD,Appel manifestation / proposition,"Travaux publics,","Liberté 6 extension
Liberté 6 extension",Sénégal,06/01/2026,07/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,FOURNITURE ET INSTALLATION DE STORES ENROULEURS AU NIVEAU DES BAIES VITREES DU BATIMENT R+12 DU SIEGE DE LA BCEAO A DAKAR (SENEGAL),Appel d’offre,"Matériel et installations,","Liberté 6 extension
Liberté 6 extension",Sénégal,05/01/2026,30/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,REMPLACEMENT DU SYSTEME D'EXTRACTION D'AIR DES SANITAIRES DU BATIMENT R+12 DU SIEGE DE LA BCEAO A DAKAR (SENEGAL),Appel d’offre,"Maintenance et réparations,Matériel et installations,","Liberté 6 extension
Liberté 6 extension",Sénégal,05/01/2026,30/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,ACQUISITION DE SERVEURS POUR LA PLATEFORME DE SUPERVISION ET DE CONTROLE DES FLUX DE COMMUNICATIONS ELECTRONIQUES ET DES TRANSACTIONS DE MOBILE MONEY,Appel d’offre,"Ordinateurs, Matériels,","Liberté 6 extension
Liberté 6 extension",Sénégal,05/01/2026,06/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,"COSULTANCY: ZERO OUT OF SCHOOL CAMPAIGN, WCARO DAKAR, SENEGAL",Appel à consultation,"Organismes, ONG, Associations,","Liberté 6 extension
Liberté 6 extension",Sénégal,04/01/2026,05/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,EOI - INTERGOVERNMENTAL ENGAGEMENT CONSULTANT - PESD,Appel à consultation,"Organismes, ONG, Associations,","Liberté 6 extension
Liberté 6 extension",Sénégal,04/01/2026,05/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,"AMI - SENEGAL - ELABORATION DE DOCUMENTS FIDUCIAIRES POUR LE COMPTE DE : OFFICE DE DEVELOPPEMENT ET D’EXPLOITATION DES FORETS (ODEF) DU TOGO, OFFICE BURUNDAIS POUR LA PROTECTION DE L’ENVIRONNEMENT (OBPE) DU BURUNDI ET LA BANQUE AGRICOLE (BA",Appel d’offre,"Administrations, Services publiques,","Liberté 6 extension
Liberté 6 extension",Sénégal,04/01/2026,17/01/2026,http://guindo.co/,"+221776449596, +221338243334"
Dobiza,"AMI - SENEGAL - ELABORATION DE DOCUMENTS DE GOUVERNANCE POUR LE COMPTE DE : OFFICE DE DEVELOPPEMENT ET D’EXPLOITATION DES FORETS (ODEF) DU TOGO, OFFICE BURUNDAIS POUR LA PROTECTION DE L’ENVIRONNEMENT (OBPE) DU BURUNDI ET LA BANQUE AGRICOLE",Appel d’offre,"Administrations, Services publiques,","Liberté 6 extension
Liberté 6 extension",Sénégal,04/01/2026,17/01/2026,http://guindo.co/,"+221776449596, +221338243334"
